Category: All categories

Week,flu shot: (United States)
2014-12-14,18
2014-12-21,13
2014-12-28,17
2015-01-04,16
2015-01-11,12
2015-01-18,9
2015-01-25,8
2015-02-01,6
2015-02-08,5
2015-02-15,4
2015-02-22,4
2015-03-01,3
2015-03-08,3
2015-03-15,2
2015-03-22,2
2015-03-29,2
2015-04-05,2
2015-04-12,2
2015-04-19,2
2015-04-26,1
2015-05-03,1
2015-05-10,1
2015-05-17,1
2015-05-24,1
2015-05-31,1
2015-06-07,1
2015-06-14,1
2015-06-21,1
2015-06-28,1
2015-07-05,1
2015-07-12,1
2015-07-19,1
2015-07-26,2
2015-08-02,2
2015-08-09,3
2015-08-16,4
2015-08-23,6
2015-08-30,9
2015-09-06,12
2015-09-13,22
2015-09-20,30
2015-09-27,40
2015-10-04,60
2015-10-11,55
2015-10-18,54
2015-10-25,47
2015-11-01,38
2015-11-08,30
2015-11-15,24
2015-11-22,17
2015-11-29,16
2015-12-06,13
2015-12-13,12
2015-12-20,9
2015-12-27,8
2016-01-03,8
2016-01-10,7
2016-01-17,6
2016-01-24,6
2016-01-31,6
2016-02-07,6
2016-02-14,6
2016-02-21,6
2016-02-28,6
2016-03-06,5
2016-03-13,4
2016-03-20,4
2016-03-27,4
2016-04-03,3
2016-04-10,2
2016-04-17,3
2016-04-24,2
2016-05-01,2
2016-05-08,2
2016-05-15,2
2016-05-22,2
2016-05-29,1
2016-06-05,1
2016-06-12,1
2016-06-19,2
2016-06-26,1
2016-07-03,1
2016-07-10,2
2016-07-17,2
2016-07-24,2
2016-07-31,2
2016-08-07,3
2016-08-14,4
2016-08-21,6
2016-08-28,8
2016-09-04,15
2016-09-11,24
2016-09-18,30
2016-09-25,42
2016-10-02,54
2016-10-09,51
2016-10-16,48
2016-10-23,44
2016-10-30,34
2016-11-06,27
2016-11-13,24
2016-11-20,17
2016-11-27,17
2016-12-04,15
2016-12-11,13
2016-12-18,12
2016-12-25,12
2017-01-01,13
2017-01-08,13
2017-01-15,11
2017-01-22,11
2017-01-29,12
2017-02-05,12
2017-02-12,10
2017-02-19,8
2017-02-26,6
2017-03-05,5
2017-03-12,4
2017-03-19,4
2017-03-26,3
2017-04-02,4
2017-04-09,3
2017-04-16,3
2017-04-23,2
2017-04-30,2
2017-05-07,2
2017-05-14,2
2017-05-21,2
2017-05-28,1
2017-06-04,2
2017-06-11,2
2017-06-18,2
2017-06-25,2
2017-07-02,2
2017-07-09,2
2017-07-16,2
2017-07-23,2
2017-07-30,3
2017-08-06,4
2017-08-13,6
2017-08-20,8
2017-08-27,11
2017-09-03,15
2017-09-10,25
2017-09-17,36
2017-09-24,46
2017-10-01,55
2017-10-08,56
2017-10-15,54
2017-10-22,49
2017-10-29,41
2017-11-05,37
2017-11-12,31
2017-11-19,21
2017-11-26,24
2017-12-03,28
2017-12-10,22
2017-12-17,20
2017-12-24,20
2017-12-31,22
2018-01-07,39
2018-01-14,50
2018-01-21,58
2018-01-28,59
2018-02-04,37
2018-02-11,30
2018-02-18,14
2018-02-25,9
2018-03-04,6
2018-03-11,5
2018-03-18,4
2018-03-25,5
2018-04-01,4
2018-04-08,3
2018-04-15,3
2018-04-22,3
2018-04-29,2
2018-05-06,2
2018-05-13,1
2018-05-20,2
2018-05-27,2
2018-06-03,2
2018-06-10,2
2018-06-17,2
2018-06-24,2
2018-07-01,1
2018-07-08,2
2018-07-15,2
2018-07-22,2
2018-07-29,3
2018-08-05,3
2018-08-12,5
2018-08-19,8
2018-08-26,11
2018-09-02,19
2018-09-09,31
2018-09-16,39
2018-09-23,56
2018-09-30,80
2018-10-07,82
2018-10-14,100
2018-10-21,82
2018-10-28,65
2018-11-04,50
2018-11-11,41
2018-11-18,29
2018-11-25,29
2018-12-02,23
2018-12-09,21
2018-12-16,19
2018-12-23,16
2018-12-30,20
2019-01-06,22
2019-01-13,15
2019-01-20,13
2019-01-27,14
2019-02-03,14
2019-02-10,13
2019-02-17,11
2019-02-24,10
2019-03-03,9
2019-03-10,8
2019-03-17,7
2019-03-24,6
2019-03-31,5
2019-04-07,4
2019-04-14,3
2019-04-21,3
2019-04-28,3
2019-05-05,2
2019-05-12,2
2019-05-19,2
2019-05-26,2
2019-06-02,2
2019-06-09,2
2019-06-16,2
2019-06-23,2
2019-06-30,1
2019-07-07,2
2019-07-14,2
2019-07-21,2
2019-07-28,3
2019-08-04,3
2019-08-11,6
2019-08-18,8
2019-08-25,10
2019-09-01,17
2019-09-08,27
2019-09-15,41
2019-09-22,59
2019-09-29,78
2019-10-06,97
2019-10-13,91
2019-10-20,79
2019-10-27,62
2019-11-03,58
2019-11-10,46
2019-11-17,42
2019-11-24,27
2019-12-01,29
2019-12-08,23
