Category: All categories

Week,flu vaccine: (United States)
2014-12-14,33
2014-12-21,22
2014-12-28,31
2015-01-04,31
2015-01-11,28
2015-01-18,20
2015-01-25,21
2015-02-01,20
2015-02-08,18
2015-02-15,16
2015-02-22,14
2015-03-01,13
2015-03-08,11
2015-03-15,9
2015-03-22,9
2015-03-29,7
2015-04-05,8
2015-04-12,11
2015-04-19,9
2015-04-26,7
2015-05-03,6
2015-05-10,7
2015-05-17,7
2015-05-24,6
2015-05-31,5
2015-06-07,5
2015-06-14,4
2015-06-21,4
2015-06-28,5
2015-07-05,6
2015-07-12,6
2015-07-19,5
2015-07-26,8
2015-08-02,10
2015-08-09,9
2015-08-16,13
2015-08-23,15
2015-08-30,26
2015-09-06,28
2015-09-13,47
2015-09-20,56
2015-09-27,74
2015-10-04,93
2015-10-11,70
2015-10-18,81
2015-10-25,68
2015-11-01,50
2015-11-08,37
2015-11-15,31
2015-11-22,23
2015-11-29,24
2015-12-06,20
2015-12-13,21
2015-12-20,13
2015-12-27,13
2016-01-03,15
2016-01-10,12
2016-01-17,12
2016-01-24,13
2016-01-31,12
2016-02-07,11
2016-02-14,13
2016-02-21,14
2016-02-28,13
2016-03-06,11
2016-03-13,10
2016-03-20,10
2016-03-27,10
2016-04-03,9
2016-04-10,9
2016-04-17,9
2016-04-24,8
2016-05-01,7
2016-05-08,7
2016-05-15,5
2016-05-22,5
2016-05-29,5
2016-06-05,4
2016-06-12,4
2016-06-19,6
2016-06-26,5
2016-07-03,6
2016-07-10,5
2016-07-17,6
2016-07-24,5
2016-07-31,7
2016-08-07,8
2016-08-14,11
2016-08-21,16
2016-08-28,21
2016-09-04,25
2016-09-11,37
2016-09-18,44
2016-09-25,54
2016-10-02,64
2016-10-09,58
2016-10-16,50
2016-10-23,47
2016-10-30,34
2016-11-06,28
2016-11-13,29
2016-11-20,17
2016-11-27,22
2016-12-04,21
2016-12-11,17
2016-12-18,15
2016-12-25,13
2017-01-01,17
2017-01-08,19
2017-01-15,16
2017-01-22,18
2017-01-29,20
2017-02-05,20
2017-02-12,19
2017-02-19,16
2017-02-26,13
2017-03-05,13
2017-03-12,9
2017-03-19,9
2017-03-26,9
2017-04-02,11
2017-04-09,8
2017-04-16,9
2017-04-23,8
2017-04-30,7
2017-05-07,7
2017-05-14,5
2017-05-21,5
2017-05-28,6
2017-06-04,6
2017-06-11,8
2017-06-18,8
2017-06-25,7
2017-07-02,7
2017-07-09,6
2017-07-16,7
2017-07-23,7
2017-07-30,8
2017-08-06,11
2017-08-13,12
2017-08-20,20
2017-08-27,25
2017-09-03,28
2017-09-10,40
2017-09-17,44
2017-09-24,59
2017-10-01,69
2017-10-08,59
2017-10-15,55
2017-10-22,53
2017-10-29,44
2017-11-05,40
2017-11-12,35
2017-11-19,28
2017-11-26,34
2017-12-03,43
2017-12-10,29
2017-12-17,26
2017-12-24,29
2017-12-31,33
2018-01-07,62
2018-01-14,73
2018-01-21,84
2018-01-28,81
2018-02-04,55
2018-02-11,56
2018-02-18,29
2018-02-25,24
2018-03-04,14
2018-03-11,13
2018-03-18,11
2018-03-25,12
2018-04-01,12
2018-04-08,10
2018-04-15,9
2018-04-22,9
2018-04-29,9
2018-05-06,7
2018-05-13,7
2018-05-20,6
2018-05-27,7
2018-06-03,6
2018-06-10,6
2018-06-17,6
2018-06-24,7
2018-07-01,5
2018-07-08,6
2018-07-15,6
2018-07-22,7
2018-07-29,8
2018-08-05,11
2018-08-12,13
2018-08-19,17
2018-08-26,21
2018-09-02,32
2018-09-09,45
2018-09-16,54
2018-09-23,74
2018-09-30,86
2018-10-07,79
2018-10-14,100
2018-10-21,76
2018-10-28,59
2018-11-04,47
2018-11-11,40
2018-11-18,29
2018-11-25,33
2018-12-02,28
2018-12-09,23
2018-12-16,24
2018-12-23,22
2018-12-30,29
2019-01-06,26
2019-01-13,21
2019-01-20,20
2019-01-27,23
2019-02-03,24
2019-02-10,24
2019-02-17,21
2019-02-24,17
2019-03-03,18
2019-03-10,17
2019-03-17,15
2019-03-24,13
2019-03-31,13
2019-04-07,12
2019-04-14,10
2019-04-21,9
2019-04-28,9
2019-05-05,8
2019-05-12,8
2019-05-19,8
2019-05-26,7
2019-06-02,7
2019-06-09,6
2019-06-16,7
2019-06-23,7
2019-06-30,6
2019-07-07,7
2019-07-14,6
2019-07-21,7
2019-07-28,6
2019-08-04,9
2019-08-11,11
2019-08-18,15
2019-08-25,20
2019-09-01,26
2019-09-08,36
2019-09-15,49
2019-09-22,68
2019-09-29,84
2019-10-06,97
2019-10-13,85
2019-10-20,71
2019-10-27,57
2019-11-03,53
2019-11-10,44
2019-11-17,41
2019-11-24,27
2019-12-01,32
2019-12-08,20
