Category: All categories

Week,stomach flu: (United States)
2014-12-14,40
2014-12-21,53
2014-12-28,53
2015-01-04,39
2015-01-11,35
2015-01-18,39
2015-01-25,35
2015-02-01,36
2015-02-08,38
2015-02-15,44
2015-02-22,40
2015-03-01,41
2015-03-08,44
2015-03-15,41
2015-03-22,37
2015-03-29,35
2015-04-05,37
2015-04-12,31
2015-04-19,27
2015-04-26,25
2015-05-03,23
2015-05-10,23
2015-05-17,19
2015-05-24,20
2015-05-31,16
2015-06-07,13
2015-06-14,13
2015-06-21,14
2015-06-28,14
2015-07-05,14
2015-07-12,11
2015-07-19,13
2015-07-26,14
2015-08-02,12
2015-08-09,13
2015-08-16,13
2015-08-23,13
2015-08-30,12
2015-09-06,14
2015-09-13,17
2015-09-20,15
2015-09-27,16
2015-10-04,17
2015-10-11,17
2015-10-18,19
2015-10-25,21
2015-11-01,21
2015-11-08,23
2015-11-15,23
2015-11-22,27
2015-11-29,32
2015-12-06,36
2015-12-13,36
2015-12-20,46
2015-12-27,48
2016-01-03,42
2016-01-10,33
2016-01-17,34
2016-01-24,33
2016-01-31,34
2016-02-07,37
2016-02-14,40
2016-02-21,41
2016-02-28,40
2016-03-06,42
2016-03-13,35
2016-03-20,33
2016-03-27,37
2016-04-03,29
2016-04-10,29
2016-04-17,24
2016-04-24,24
2016-05-01,22
2016-05-08,21
2016-05-15,20
2016-05-22,18
2016-05-29,18
2016-06-05,17
2016-06-12,16
2016-06-19,14
2016-06-26,13
2016-07-03,17
2016-07-10,14
2016-07-17,14
2016-07-24,14
2016-07-31,14
2016-08-07,15
2016-08-14,14
2016-08-21,14
2016-08-28,15
2016-09-04,15
2016-09-11,17
2016-09-18,19
2016-09-25,18
2016-10-02,20
2016-10-09,21
2016-10-16,21
2016-10-23,23
2016-10-30,23
2016-11-06,22
2016-11-13,30
2016-11-20,31
2016-11-27,34
2016-12-04,37
2016-12-11,44
2016-12-18,59
2016-12-25,80
2017-01-01,62
2017-01-08,61
2017-01-15,57
2017-01-22,54
2017-01-29,52
2017-02-05,56
2017-02-12,54
2017-02-19,50
2017-02-26,41
2017-03-05,39
2017-03-12,40
2017-03-19,40
2017-03-26,39
2017-04-02,35
2017-04-09,33
2017-04-16,32
2017-04-23,28
2017-04-30,26
2017-05-07,27
2017-05-14,26
2017-05-21,24
2017-05-28,22
2017-06-04,21
2017-06-11,17
2017-06-18,21
2017-06-25,17
2017-07-02,18
2017-07-09,18
2017-07-16,15
2017-07-23,15
2017-07-30,14
2017-08-06,16
2017-08-13,14
2017-08-20,15
2017-08-27,16
2017-09-03,15
2017-09-10,17
2017-09-17,18
2017-09-24,20
2017-10-01,17
2017-10-08,19
2017-10-15,22
2017-10-22,25
2017-10-29,28
2017-11-05,29
2017-11-12,32
2017-11-19,35
2017-11-26,43
2017-12-03,40
2017-12-10,53
2017-12-17,75
2017-12-24,100
2017-12-31,85
2018-01-07,80
2018-01-14,78
2018-01-21,81
2018-01-28,72
2018-02-04,74
2018-02-11,70
2018-02-18,51
2018-02-25,45
2018-03-04,39
2018-03-11,38
2018-03-18,37
2018-03-25,37
2018-04-01,37
2018-04-08,32
2018-04-15,29
2018-04-22,33
2018-04-29,28
2018-05-06,26
2018-05-13,25
2018-05-20,25
2018-05-27,23
2018-06-03,22
2018-06-10,19
2018-06-17,19
2018-06-24,19
2018-07-01,19
2018-07-08,20
2018-07-15,18
2018-07-22,18
2018-07-29,17
2018-08-05,17
2018-08-12,17
2018-08-19,18
2018-08-26,18
2018-09-02,19
2018-09-09,20
2018-09-16,21
2018-09-23,21
2018-09-30,24
2018-10-07,24
2018-10-14,26
2018-10-21,26
2018-10-28,30
2018-11-04,32
2018-11-11,34
2018-11-18,39
2018-11-25,44
2018-12-02,44
2018-12-09,49
2018-12-16,60
2018-12-23,87
2018-12-30,74
2019-01-06,56
2019-01-13,54
2019-01-20,54
2019-01-27,50
2019-02-03,55
2019-02-10,54
2019-02-17,54
2019-02-24,49
2019-03-03,50
2019-03-10,54
2019-03-17,51
2019-03-24,48
2019-03-31,43
2019-04-07,39
2019-04-14,35
2019-04-21,35
2019-04-28,32
2019-05-05,26
2019-05-12,25
2019-05-19,24
2019-05-26,23
2019-06-02,20
2019-06-09,20
2019-06-16,21
2019-06-23,22
2019-06-30,19
2019-07-07,20
2019-07-14,18
2019-07-21,17
2019-07-28,19
2019-08-04,19
2019-08-11,17
2019-08-18,15
2019-08-25,17
2019-09-01,19
2019-09-08,18
2019-09-15,20
2019-09-22,23
2019-09-29,21
2019-10-06,25
2019-10-13,27
2019-10-20,28
2019-10-27,28
2019-11-03,31
2019-11-10,34
2019-11-17,38
2019-11-24,42
2019-12-01,45
2019-12-08,40
